ID,Name,Number,Value,Position,MatchesPlayed,PreviousTeams
d32e8399-9888-4108-be92-71397053db07,Cristiano Ronaldo,7,100,00,Forward,30,Sporting CP;Manchester United;Real Madrid;Juventus
189f4768-ddf5-48f6-b067-2ed6d841d172,Cristiano Ronaldo,7,100,00,Forward,30,Sporting CP;Manchester United;Real Madrid;Juventus
9bc11e35-5882-4980-9402-a65be8c1aecb,Cristiano Ronaldo,7,100,00,Forward,30,Sporting CP;Manchester United;Real Madrid;Juventus
9e02502e-cf1a-479c-8ddf-5f44a4010787,Cristiano Ronaldo,7,100,00,Forward,30,Sporting CP;Manchester United;Real Madrid;Juventus
e57143de-8301-486b-a869-41b34ad3eab1,Cristiano Ronaldo,7,100,00,Forward,30,Sporting CP;Manchester United;Real Madrid;Juventus
ce518897-a07d-4f44-a0bb-81dffc555db2,Cristiano Ronaldo,7,100,00,Forward,30,Sporting CP;Manchester United;Real Madrid;Juventus
44a01965-dbff-4131-82f7-2526d992636e,Cristiano Ronaldo,7,100,00,Forward,30,Sporting CP;Manchester United;Real Madrid;Juventus
0fc4930a-0b44-41c0-a75f-1658ccbd6c64,Cristiano Ronaldo,7,100,00,Forward,30,Sporting CP;Manchester United;Real Madrid;Juventus
faaf630e-5891-481a-b87d-57c3e2e73c3e,Cristiano Ronaldo,7,100,00,Forward,30,Sporting CP;Manchester United;Real Madrid;Juventus
20f761ff-86f9-48d9-950a-9ad7523d3f20,Cristiano Ronaldo,7,100,00,Forward,30,Sporting CP;Manchester United;Real Madrid;Juventus
697365f5-e4a7-4831-8c06-d46cf191a6ee,Cristiano Ronaldo,7,100,00,Forward,30,Sporting CP;Manchester United;Real Madrid;Juventus
